"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"1955-5","1955","5","89","267","Inseminada","3","4","4.2","6.2","295000","4.56","1","","","",""
"232-8","232","8","92","55","Abierta","2","5","13.5","6.4","308000","4.62","1","","","",""
"869-2","869","2","49","137","Inseminada","3","2","15.3","7","303000","4.6","1","","","",""
"35-8","35","8","153","94","Inseminada","3","5","19.9","8.4","304000","4.6","1","","","",""
"691-3","691","3","93","257","Gestante","1","5","6.7","6.1","1393000","6.8","1","","","",""
"904-5","904","5","43","10","Abierta","2","2","13.4","7.4","1382000","6.79","1","","","",""
"822-6","822","6","61","128","Inseminada","3","3","17.2","7.5","1354000","6.76","1","","","",""
"746-8","746","8","86","29","Abierta","2","5","23.1","7.3","1414000","6.82","1","","","",""
"1867-2","1867","2","50","146","Inseminada","3","2","11.6","7.8","1398000","6.81","1","","","",""
"1626-2","1626","2","104","161","Gestante","1","7","16.2","7.5","1406000","6.81","1","","","",""
"1939-6","1939","6","86","277","Gestante","1","5","6.5","8.4","1330000","6.73","1","","","",""
"869-10","869","10","51","194","Gestante","1","2","15.5","6.9","1314000","6.72","1","","","",""
"653-8","653","8","120","287","No gestante","#N/A","6","9.2","8.7","1306000","6.71","1","","","",""
"1867-11","1867","11","52","210","No gestante","#N/A","2","11.3","9.2","1326000","6.73","1","","","",""
"1112-7","1112","7","101","314","Gestante","1","4","18.6","6.7","1326000","6.73","1","","","",""
"822-8","822","8","61","142","Gestante","1","3","15.9","7.3","1326000","6.73","1","","","",""
"925-1","925","1","37","304","Gestante","1","1","12.6","5.7","1422000","6.83","1","","","",""
"806-7","806","7","65","56","Abierta","2","3","15.9","6.8","1533000","6.94","1","","","",""
"784-3","784","3","70","155","Gestante","1","3","12.7","6.8","1538000","6.94","1","","","",""
"52-11","52","11","108","300","Gestante","1","6","9.6","7.7","1523000","6.93","1","","","",""
"806-6","806","6","65","48","Abierta","2","3","15","6.9","1611000","7.01","1","","","",""
"136-1","136","1","93","315","Gestante","1","5","7.2","7.1","1580000","6.98","1","","","",""
"1107-5","1107","5","101","3","Abierta","2","7","4.8","9.9","1556000","6.96","1","","","",""
"1600-10","1600","10","88","232","Inseminada","3","5","15.5","7.5","1445000","6.85","1","","","",""
"690-2","690","2","93","226","Gestante","1","5","14.6","6.7","1437000","6.84","1","","","",""
"690-8","690","8","94","268","Gestante","1","5","9.9","6.7","1427000","6.83","1","","","",""
"212-10","212","10","93","74","Abierta","2","4","17.4","7.3","1466000","6.87","1","","","",""
"690-1","690","1","93","219","Gestante","1","5","16.9","7.4","1457000","6.86","1","","","",""
"846-8","846","8","58","297","Gestante","1","2","7.1","6.7","1441000","6.85","1","","","",""
"212-11","212","11","93","81","Abierta","2","4","16.5","7.5","1104000","6.46","1","","","",""
"806-1","806","1","64","13","Abierta","2","3","12.1","6.8","1095000","6.45","1","","","",""
"947-5","947","5","35","209","Gestante","1","1","14.4","6.2","1080000","6.43","1","","","",""
"690-7","690","7","94","262","Gestante","1","5","11","6.7","1120000","6.49","1","","","",""
"825-2","825","2","60","241","Gestante","1","3","15.9","8","1109000","6.47","1","","","",""
"408-3","408","3","74","266","Inseminada","3","2","16.8","8.4","1111000","6.47","1","","","",""
"947-9","947","9","36","237","Gestante","1","1","15","6","1021000","6.35","1","","","",""
"1111-10","1111","10","102","9","Abierta","2","6","16.5","6.2","1004000","6.33","1","","","",""
"1626-7","1626","7","105","197","Gestante","1","7","15.9","7.3","993000","6.31","1","","","",""
"748-4","748","4","84","277","Gestante","1","4","10.9","8","1055000","6.4","1","","","",""
"206-2","206","2","91","259","Gestante","1","4","6.9","8.7","1046000","6.39","1","","","",""
"1939-4","1939","4","85","263","Gestante","1","5","7.2","8.3","1042000","6.38","1","","","",""
"691-1","691","1","93","243","Gestante","1","5","8.6","6.5","1133000","6.5","1","","","",""
"825-10","825","10","62","298","Gestante","1","3","14.2","7.9","1270000","6.67","1","","","",""
"52-3","52","3","106","243","Gestante","1","6","12","8.4","1229000","6.62","1","","","",""
"7741-2","7741","2","66","176","Gestante","1","4","13.9","6.2","1211000","6.6","1","","","",""
"206-1","206","1","91","252","Gestante","1","4","4.9","6.6","1304000","6.7","1","","","",""
"845-5","845","5","58","48","Abierta","2","3","14.4","8","1294000","6.69","1","","","",""
"746-10","746","10","86","44","Abierta","2","5","25.6","8.1","1286000","6.68","1","","","",""
"408-8","408","8","75","301","No gestante","#N/A","2","15.1","7.5","1159000","6.53","1","","","",""
"845-11","845","11","59","91","Abierta","2","3","15.5","7.2","1145000","6.52","1","","","",""
"17-6","17","6","107","286","Gestante","1","5","3.8","6.7","1133000","6.5","1","","","",""
"1600-5","1600","5","87","196","Gestante","1","5","18.3","6.9","1208000","6.59","1","","","",""
"52-5","52","5","107","257","Gestante","1","6","12.2","9","1185000","6.57","1","","","",""
"1867-10","1867","10","52","203","No gestante","#N/A","2","7.1","9.9","1161000","6.54","1","","","",""
"904-6","904","6","43","17","Abierta","2","2","13.4","7.4","1618000","7.02","1","","","",""
"904-7","904","7","44","25","Abierta","2","2","20.1","7.4","2410000","7.59","1","","","",""
"825-4","825","4","60","255","Gestante","1","3","14.4","9.6","2416000","7.59","1","","","",""
"1603-10","1603","10","88","10","Abierta","2","5","11.1","6.7","2387000","7.58","1","","","",""
"784-2","784","2","70","148","Gestante","1","3","12.5","6.7","2597000","7.7","1","","","",""
"806-4","806","4","65","34","Abierta","2","3","14.9","6.6","2483000","7.63","1","","","",""
"136-2","136","2","94","322","Gestante","1","5","4.7","6.5","2410000","7.59","1","","","",""
"1913-8","1913","8","91","348","Gestante","1","4","5.3","7.3","2298000","7.52","1","","","",""
"845-8","845","8","58","69","Abierta","2","3","14.6","7.2","2274000","7.51","1","","","",""
"1626-5","1626","5","105","182","Gestante","1","7","16","6","2280000","7.51","1","","","",""
"17-5","17","5","107","279","Gestante","1","5","4.2","6.5","2369000","7.57","1","","","",""
"947-2","947","2","34","188","Gestante","1","1","9","6.9","2311000","7.53","1","","","",""
"7741-11","7741","11","68","240","Gestante","1","4","14.6","5.5","2291000","7.52","1","","","",""
"52-9","52","9","107","285","Gestante","1","6","10.5","9","2817000","7.82","1","","","",""
"1546-2","1546","2","58","123","Gestante","1","3","8.7","6.1","4719000","8.56","1","","","",""
"952-2","952","2","34","222","Gestante","1","1","12.3","6.4","4591000","8.52","1","","","",""
"136-3","136","3","94","329","Gestante","1","5","5.3","6.7","3862000","8.27","1","","","",""
"888-10","888","10","47","315","Gestante","1","2","8.5","6.2","5878000","8.88","1","","","",""
"686-8","686","8","108","238","Inseminada","3","6","8.8","7","5477000","8.78","1","","","",""
"888-1","888","1","45","251","Gestante","1","2","9.1","6.7","5061000","8.66","1","","","",""
"212-1","212","1","91","10","Abierta","2","4","19.8","7.1","3084000","7.95","1","","","",""
"1241-5","1241","5","102","92","Abierta","2","7","17.4","6.7","2881000","7.85","1","","","",""
"846-6","846","6","57","283","Gestante","1","2","6.9","6.8","2843000","7.83","1","","","",""
"846-1","846","1","56","248","Gestante","1","2","6.1","7.3","3693000","8.21","1","","","",""
